title,description,url,prep_time,cook_time,total_time,servings,ingredients,instructions,image_url,recipe_category,recipe_cuisine,keywords,calories
Mom's Homemade Biscuits,"My mom made these when I was growing up by just throwing everything into a bowl with no measuring.  We liked them so much that we all needed the recipe so after several tries this is her recipe and they are great. Very delicate biscuit, do not roll with rolling pin just flour board and use hands to press dough out about 1 inch thick and then cut .",https://www.food.com/recipe/moms-homemade-biscuits-181928,5m,20m,25m,"8-10 biscuits, 4-5 serving(s)",2   cups    flour | 4   tablespoons    sugar | 1   teaspoon    salt | 3   teaspoons    baking powder | 1/3  cup    shortening (Crisco works best) | 3/4  cup    milk,"Mix together flour, sugar and salt.  Add baking powder and then cut in shortening with pastry blender until thoroughly incorporated. | Add milk and mix only until a soft dough forms.  Dough may be slightly sticky but that is normal. | Generously flour counter or board and transfer dough on top dusting with a small amount of flour if dough is sticky.  Pat dough out with hands till about 1 inch thick and cut with biscuit cutter or large glass dipped in flour. Place on baking sheet about 1 1/2 inch apart.  Bake 425 degrees for 12 to 15 minutes or until golden brown. | Note: Do not roll out with rolling pin as that will make for harder biscuits.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/18/19/28/dtQnfYT2Q8yrjuQqQeDc_biscuits.JPG",Breads,All,"High In...,Brunch,< 30 Mins,Inexpensive",458.2
Corned Beef Hash Breakfast Pizza,"Bored of the same-old pizza toppings? Try adding an Irish twist, with corned beef, hash browns, cheese and a dash of hot sauce for good measure.",https://www.food.com/recipe/corned-beef-hash-breakfast-pizza-537494,10m,30m,40m,4 serving(s),"4   tablespoons    olive oil, divided | 1   cup   diced red onion | 1/2      red bell pepper, diced | 1/2      green bell pepper, diced | 8   ounces    frozen hash browns, roughly chopped | 2   cups    cooked corned beef, cubed | 2 -3   teaspoons    hot sauce (optional) | kosher salt | ground black pepper | 1 (13   ounce) can   pizza dough | 1 1/2  cups   shredded sharp cheddar cheese, divided | 1   cup   shredded mozzarella cheese, divided | 4   large    eggs | 3   tablespoons   chopped scallions","Preheat oven to 425 degrees F. In a large saute pan, heat 2 tablespoons oil over medium high heat. Cook onion, red bell peppers and green bell peppers until beginning to soften, about 3-5 minutes. Increase heat and add hash browns, stirring to combine. Cook 3-5 minutes then stir in cubed corned beef, hot sauce (if using), and salt and pepper to taste. Set aside. | Working on a 9x11 piece of parchment paper, stretch or roll pizza dough into a large rectangle. Transfer to a baking sheet and bake for 6 minutes. | Remove pizza from oven and brush dough with 2 tablespoons olive oil. Top with 1 cup shredded cheddar cheese, 1/2 cup mozzarella cheese and the corned beef hash. Make 4 wells in the hash and break an egg into each well. Top the hash with remaining 1/2 cup cheddar cheese and 1/2 cup shredded mozzarella. | Bake pizza until crust is golden and eggs whites are set, about 10-12 minutes. Remove from oven and garnish with chopped scallions.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/53/74/94/l8dCU6phTveJogl5dOHM_0S9A6643.jpg",Breakfast,All,"European,< 60 Mins",594.4
Baked Egg in Ham Cups With Parmesan and Green Onion,"You don't have to wait until a special occasion, make these for your breakfast tomorrow.  I entered the recipe as 1 egg so you can easily scale it to just the number you need.  If serving a crowd, use your muffin tin/silpat.  Just 1 or a few use a ramekin or silpat cup.  Add other things to the cup as the spirit moves you!",https://www.food.com/recipe/baked-egg-in-ham-cups-with-parmesan-and-green-onion-477110,2m,18m,20m,1 serving(s),"1   slice    ham, thin | 1       egg | 2   teaspoons    parmesan cheese, grated | 1   tablespoon    green onion, chopped | smidge oil | salt | pepper","Preheat oven to 375F. | Oil your ramekin (or silpat cup or muffin tin). | Place the ham inside of it, making a nice cup. | Crack your egg into the center. | Top with green onion and cheese. | Salt and pepper to taste. | Bake for 15-20 minutes.  I prefer the yolk still runny -- less time. | Pop onto your plate and serve.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/47/71/10/zgbWIYwsTyO8gRz3g3wC_033%20ham%20egg%20cups.jpg",Breakfast,All,"Cheese,< 30 Mins",87.8
Auberge French Lavender Pancakes With Lavender Honey,"Our own Auberge de la Fontaine Lavender Pancakes - these are made with home-grown organic lavender flowers from our garden here in SW France, where we often serve them for breakfast! They also make a very elegant dessert when served with cream and fruit - I sometimes serve them with Recipe #241775. If you cannot get hold of culinary lavender, these pancakes are just fine if served with the lavender honey, butter and/or cream and fresh fruit.",https://www.food.com/recipe/auberge-french-lavender-pancakes-with-lavender-honey-247657,5m,15m,20m,"12 Pancakes, 4-6 serving(s)","8   ounces    plain flour | 1   tablespoon    brown sugar | 1/2  teaspoon   powdered dried lavender flowers | 1/4  teaspoon    salt | 4   teaspoons    baking powder | 2       eggs | 1   cup    milk | 1   teaspoon    vanilla extract | 5   tablespoons    butter, melted and allowed to cool slightly | cooking spray or   butter | lavender honey, to serve | cream, to serve | butter, to serve","In a large bowl, mix together all dry ingredients together. | Add the milk, eggs and vanilla extract and whisk until well combined. | Whisk in the melted butter until the batter is thick and very smooth. | Heat frying pan or griddle over medium heat, and spray with cooking oil spray or grease with a knob of butter. | Spoon the pancake batter onto the griddle in equal amounts and cook until bubbles come to the surface of the batter and the edges start to curl up. | Flip pancakes with a spatula, and cook for a few seconds more on the second side. | Check underneath for a golden brown colour– if they are too pale, keep cooking them a bit longer. | When they are done, remove them from the griddle/frying pan and put on a large heat-proof plate in the oven to keep warm and continue until all the batter is used. | Makes about a dozen pancakes. | Top with Lavender honey and cream, or butter and Lavender honey. | Great with fruit also!","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/24/76/57/picv8HSAm.jpg",Breakfast,All,"Dessert,Raspberries,Strawberry,Berries,Fruit,European,Sweet,Brunch,< 30 Mins,Easy",439.8
Peppered Sausage Gravy and Biscuits,This recipe I found from the Pillsbury site. I made a few changes and it was a hit with my hubby and friends at the lake. Alittle different from most breakfast gravies I have noticed.,https://www.food.com/recipe/peppered-sausage-gravy-and-biscuits-111047,15m,15m,30m,5 serving(s),1   lb   jimmy dean mild sausage (any pork sausage) | 2   teaspoons   minced garlic | 1/4  cup    butter | 1/3  cup    all-purpose flour | 1/4  teaspoon    ground pepper | 1/4  teaspoon    seasoning salt | 1/4  teaspoon    basil | 1 (14   ounce) can   ready-to-serve chicken broth | 1/4  cup    half-and-half | 1 (12   ounce) can  pillsbury refrigerated buttermilk biscuits,"Bake biscuits according to directions on can. | In a large skillet, fry crumbled up sausage til done and no longer pinkish. | Drain sausage, (do not wipe pan clean) add sausage back into pan. | Add 2 teaspoons minced garlic and simmer on low heat while making the gravy. | In a medium sauce pan on medium heat melt butter and add flour, pepper, seasoning salt and basil. | Slowly add can chicken broth and half and half. | Bring to a boil while stirring to thicken gravy. | Add sausage to gravy mixture. | Simmer 5 minutes. | Serve over biscuits.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/11/10/47/5wuYQNJSFOET2J4SGS8w_0S9A0495.jpg",Breads,All,"Breakfast,Pork,Meat,< 30 Mins",373.5
Breakfast Fondue,"Don’t let your slumber party slumber through breakfast. Wake up those sleepy palates with a breakfast fondue. Easy and nourishing, the simple fruit sauce can be whipped up in minutes, and you will be wowed by how much kids will eat of this delicious and nutritious dip once they start dunking. Serve it with whole-grain, silver-dollar-size pancakes, quartered waffles and/or French toast fingers.",https://www.food.com/recipe/breakfast-fondue-404623,15m,10m,25m,"4 , 4 serving(s)","1 (15   ounce) can   sliced peaches in juice | 1/3  cup    maple syrup | 2   tablespoons   whipped light cream cheese | 1/4  teaspoon    vanilla extract | 1   pinch    cinnamon | 12      whole-grain pancakes (mini pancakes, mini-waffles or French toast fingers, warm)","Combine peaches, maple syrup, cream cheese, vanilla and cinnamon in a blender or food processor, and with an adult watching pur&eacute;e on high until smooth. It’s okay if there are a few lumps of cream cheese showing; they will disappear when you cook the peach mixture in the next step. | Pour the mixture into a pot. If you are allowed to use the stove, warm it over medium- high heat, stirring often, until the cream cheese melts and the sauce is bubbling around the edges. If you aren’t allowed to use the stove, have an adult help you. | Serve in a big bowl surrounded by whole-grain pancakes, waffles or French toast fingers, or a combination, for dipping. Use your fingers to dip, but remember, no double-dipping. Serving Size: 1/2-cup fondue; 3 whole-grain mini-pancakes, mini-waffles or French toast fingers.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/40/46/23/K2eGQjTQgyEoZXer3G8X_breakfastfondue2.JPG",Sauces,All,"Breakfast,Brunch,< 30 Mins,Easy",658.5
Quick California-Style Ham and Eggs Benedict,What a treat for Sunday brunch!  Adapted from Southern Living. (Time does not include baking the biscuits.),https://www.food.com/recipe/quick-california-style-ham-and-eggs-benedict-399616,7m,10m,17m,4 serving(s),"4      frozen biscuits | 2   tablespoons    butter, melted | 3   tablespoons    fresh chives, chop and divide | 1 (1   ounce) package   hollandaise sauce mix (or make your own) | 1   cup    milk | 1   tablespoon    lemon juice | 3/4  cup    cooked ham, chopped | 1/4-1/2  teaspoon    ground red pepper (optional) | 1/2  teaspoon    white vinegar | 4   large    eggs | 2   cups   loosely pack arugula (optional) | 1   small    avocado, sliced  (optional) | black pepper, to taste","Bake biscuits according to package. | Combine melted butter, 1 tablespoons chives; split biscuits, and brush with  mixture. | Place biscuits, buttered side up on a baking sheet and bake at 375&deg;F for 5 minutes or until toasted. | Meanwhile, prepare Hollandaise according to package, using  milk and lemon juice but omit the butter. | Saut&eacute; ham in skillet over med- heat 3 minutes or until lightly browned. | Stir ham and red pepper, if using, into Hollandaise sauce; keep warm. | Add water to a depth of 2 inches in a large sauce pan. | Bring to a boil; reduce heat, and maintain at a light simmer. | Add &frac12; teas white vinegar. Break eggs one at a time into a large serving spoon, and slip carefully into the water. | Simmer 3-5 minutes or to desired doneness. | Remove with slotted spoon. Trim edges with sharp knife. | To Serve:. | Place bottom biscuit halves, buttered side up on 4 warmed plates. | Top with arugula, slices of avocado (if using), and then poached eggs. | Pour the Hollandaise mixture evenly over eggs. | Sprinkle with remain chives and black pepper to taste. | Serve remaining biscuit halves on side.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/39/96/16/28H9Q0z0QyG9Md3IuQE6_Quick%20California%20Style%20Ham%20and%20Eggs%20Benedict%20399616%20-%20final%204.jpg",Breakfast,All,"Vegetable,Brunch,< 30 Mins",444.0
Great Easy Crepes,Can't believe this great recipe with its proportions is not already on here... most of the other recipes have a higher ratio of eggs and added fats.  This is great without the extra eggs and fats!,https://www.food.com/recipe/great-easy-crepes-507271,5m,15m,20m,6 serving(s),1 1/2  cups    milk | 1   cup    flour | 2       eggs | 1   tablespoon    sugar | 1   pinch    salt | jam | whipped cream | fresh fruit | maple syrup | nutella | powdered sugar,"Heat a non-stick pan to medium hot. | Mix all ingredients in the blender. | Brush pan with a little butter or spray with Pam. | Pour in enough batter to cover bottom of pan in a thin layer (when you pour it in, quickly hold and turn the pan to even out batter into a circle). | Flip when golden. | Spread on your topping of choice then roll --  for example: jam; whipped cream and fresh fruit; maple syrup; fresh fruit and a sprinkling of powdered sugar; nutella.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/50/72/71/0qR5VuHgTMWVU7f2kLtP_great%20easy%20crepes%20SITE-3.jpg",Breakfast,All,"Toddler Friendly,Healthy,Kid Friendly,Weeknight,Brunch,< 30 Mins,Easy,Inexpensive,From Scratch",146.8
Breakfast Poutine,Make and share this Breakfast Poutine recipe from Food.com.,https://www.food.com/recipe/breakfast-poutine-526518,10m,30m,40m,2 serving(s),"1   lb    frozen french fries | 4       bacon, slices | 2      fried eggs | 1/2  cup   canned gravy | 1/2  cup    cheese | salt and pepper","Follow cooking instructions on French Fries package. | While they are cooking, cook bacon until they are crispy. | Fry the eggs in a lightly oiled skillet. | Place cooked fries on the bottom of a cast iron skillet. | Sprinkle bacon and cheese on top. | Add the fried eggs. | Season with salt and pepper to taste. | Drizzle on heated gravy.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/52/65/18/10gKQiPKRFWVJRJphiAl_Breakfast%20Poutine%2001.jpeg",Breakfast,All,"Potato,Vegetable,< 60 Mins",660.1
Pepperoni Omelet,A great cure for a hangover. Serve with a few glasses of orange juice followed by a few glasses of water.,https://www.food.com/recipe/pepperoni-omelet-196487,10m,20m,30m,1-2 serving(s),"3   medium    eggs | 1/2  teaspoon    Tabasco sauce | 1   medium    potato | 1   medium    onion | 1   medium    tomatoes, coarsely diced | 50   g    pepperoni, thinly sliced | 50   g    tasty cheese, grated | 1/4  teaspoon    ground black pepper","Whisk eggs in a bowl with Tabasco sauce. | Grate onion and potato into same bowl. | Add diced tomato and mix together. | Place mixture into a lightly oiled small skillet or fry pan over medium to low temperature. | Immediately layer pepperoni slices over the top and sprinkle with grated cheese. | Grind pepper over the top. | Cook around 15-20 minutes until egg has set on the top and cheese has melted, there is no need to flip it.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/19/64/87/kyldn4hpRNuWZpXKy8CE_0S9A8470.jpg",Breakfast,All,"Lunch/Snacks,Potato,Cheese,Vegetable,Australian,Brunch,< 30 Mins,Beginner Cook,Stove Top,Easy",869.1
"Blueberry Pancakes, Milk-free, Egg-free","A seriously delicious recipe. We pick our wild blueberries here in August, and freeze 75% of our pickings. They are smaller (not tiny), making them perfect for these pancakes. Recipe is from The Milk-Free Kitchen.",https://www.food.com/recipe/blueberry-pancakes-milk-free-egg-free-92649,5m,10m,15m,6 pancakes,1   cup    white flour | 3   tablespoons    white sugar | 2 1/4  teaspoons    baking powder | 1/4  teaspoon    salt | 2 1/2  tablespoons    margarine | 3/4  cup    water | 1       eggs or 2   tablespoons    water | 1/2  cup    fresh blueberries or 1/2  cup    frozen blueberries,"Sift flour, sugar, baking powder, and salt together into medium mixing bowl. | Melt 2 1/2 Tbsp margarine in frying pan until melted; Be sure to tip the pan side to side to coat/grease all over. | Pour melted margarine in a small bowl, add water and egg (if you want to add egg); Mix well. | Mix blueberries with dry ingredients, just before adding the liquids. | Stir liquid mixture into the dry ingredients until it is thoroughly moistened; It is OK if this batter is lumpy. | Cook the pancakes over medium-high heat on the stove-top (or 375F on electric frying pans); Cook pancakes until the tops are bubbly and the bottoms browned; Turn the pancakes over to cook other side (Approxiamtely four minutes per side). | Serve hot with margarine, honey, brown sugar or maple syrup. | Actual cooking time will depend on the size of the pan you are using; I have a small frying pan, so I have to do these individually; My mom has a griddle large enough to cook them all at once.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/92/64/9/6EuVVYq9SfmXWiL0NETz_blueberry-pancakes-milk-egg-free_5619.jpg",Breakfast,All,"Lactose Free,Egg Free,Kid Friendly,Free Of...,< 15 Mins,Beginner Cook,Easy,Inexpensive",162.3
Shredded Potato Baskets With Cheese and Bacon #5FIX,5-Ingredient Fix Contest Entry - This is my tasty version of a popular appetizer served at a local restaurant.  The crispy yet chewy &quot;baskets&quot; made with the shredded potatoes (hashbrowns) takes this side dish to the next level and is a family favorite.,https://www.food.com/recipe/shredded-potato-baskets-with-cheese-and-bacon-5fix-495577,10m,30m,40m,"12 baskets, 4 serving(s)","1 (20   ounce) package   Simply Potatoes&reg; Shredded Hash Browns | 1   large    egg | 2 -3   tablespoons    flour | 1 (12   ounce) package   shredded cheddar cheese | 8   ounces    bacon, cooked and crumbled","Heat oven to 375 degrees F.  Generously coat 2 6-compartment non-stick muffin tins with cooking spray.  Set aside. | In a large bowl, combine the potatoes, egg and flour, adding just enough flour so mixture &quot;sticks together&quot;.  Divide evenly among the prepared muffin compartments.  Using the back of a spoon, firmly press potato mixture into bottom and up sides of each compartment, making a &quot;well&quot; in each. | Place in oven and bake for 20-25 minutes or until just starting to brown.  Remove from oven and divide shredded cheese evenly among cups and top each with crumbled bacon.  Return to oven and bake another 5-10 minutes or until &quot;baskets&quot; are golden brown and cheese and bacon is hot, melted and bubbly. | Remove from oven and let rest for 5 minutes.  To serve:  gently run the tip of a sharp knife blade around rim of each cup to loosen.  Release each basket and place on serving platter.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/49/55/77/zRnZjc49QAyWXriTr6bo_DSC04790-2.jpg",Pork,All,"Potato,Cheese,Vegetable,Meat,Very Low Carbs,High In...,< 60 Mins,Easy",635.1
Breakfast Banana Split,Make and share this Breakfast Banana Split recipe from Food.com.,https://www.food.com/recipe/breakfast-banana-split-130861,5m,,5m,1 serving(s),"1       banana, split lengthwise | 1/2  cup    yogurt, any flavor you like | 1/4  cup    granola cereal or 1/4  cup    cereal | 1/4  cup    blueberries or 1/4  cup   other berries | chocolate (optional) or   fruit syrup (optional) | whipped cream (optional) | 1       maraschino cherry",Place banana in a bowl and top with yogurt. | Sprinkle granola or cereal over the yogurt and top with berries. | Add a little chocolate or fruit topping syrup if desired. | Garnish with some whipped cream and a cherry.,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/13/08/61/yzgJiVUHSTmX8xyxlevH_breakfast-banana-split-9472-2.jpg",Breakfast,All,"Lunch/Snacks,Berries,Tropical Fruits,Fruit,Low Cholesterol,Toddler Friendly,Healthy,Kid Friendly,Summer,Brunch,< 15 Mins,No Cook,Beginner Cook,Easy,Inexpensive",358.2
Pancakes With Blood Orange Honey Sauce,Pancakes with Blood Orange Honey Sauce Garnished with Strawberries. Could be served for breakfast or desert. Makes up to 12 pancakes which are 1/4 cups in size each or 4 very large pancakes. Created for RSC #11.,https://www.food.com/recipe/pancakes-with-blood-orange-honey-sauce-283054,15m,30m,45m,4 serving(s),"1/2  cup    honey | 1/2  cup    blood orange juice, strained | 1 1/2  teaspoons    cornstarch or 1 1/2  teaspoons    cornflour | 1   tablespoon    butter | 8   ounces    fresh strawberries, quarter | 1 1/2  cups    all-purpose flour, sifted | 3 1/2  teaspoons    baking powder, sifted | 1/2  teaspoon    salt, sifted | 1   tablespoon    white sugar, sifted | 1       egg | 3   tablespoons    butter, melted and slightly cooled | 1 1/2  cups    milk | cooking spray, for pan","Blood Orange Honey Sauce: In small saucepan, add honey, blood orange juice and cornflour, whisk well until sauce ingredients are blended. | Put saucepan over a medium heat and bring mixture to a boil, whisking occasionally and cook until sauce starts to boil, then remove from heat. | Whisk in butter until completely dissolved into the sauce. Set aside and allow cooling until pancakes are ready. | Pancake: In a large bowl, add sifted flour, baking powder, salt and sugar, mix well and make a small well in the centre of the bowl with the dried ingredients. | Add the egg in centre of the well, then add melted butter, slowly add milk and mix until smooth. (You may not need to add the entire 1 1/2 cups of milk, consistence of mixture needs to be smooth). | Using the cooking spray, lightly oil pancake pan or non stick frying pan over medium heat. | Once pan is hot, pour approximately 1/4 cup of pancake mixture onto the pan. Brown on one side of pancake then flip, brown other side of pancake, place cooked pancake onto a warm plate.  Repeat this step until all the pancake mixture has completed.  Note: Only flip once as pancake will become tough and not light. | To assemble: Equally divided pancakes on four plates. Equally pour blood orange honey sauce on top of the pancakes and then add strawberries on top of the sauce. | Enjoy.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/28/30/54/u9rWxW6KSnqZv7799TXx_PWBOS%205%20-%20final_2.png",Breakfast,All,"Strawberry,Oranges,Berries,Citrus,Fruit,Healthy,< 60 Mins,Stove Top",528.0
Spicy Hash Browns - Homemade,Make and share this Spicy Hash Browns - Homemade recipe from Food.com.,https://www.food.com/recipe/spicy-hash-browns-homemade-519,15m,30m,45m,5 serving(s),"2   tablespoons    olive oil | 1   teaspoon    paprika | 3/4  teaspoon    chili powder | 1/2  teaspoon    salt | 1/4  teaspoon    red pepper, ground | 1/8  teaspoon    black pepper | 6 1/2  cups    baking potatoes, diced  (about 2-1/2 lbs) | cooking spray","Preheat oven to 400 degrees Fahrenheit. | Combine olive oil, paprika, chili powder, salt, red peppers, and black pepper in a large bowl; stir well. | Add diced potatoes and stir well to coat. | Place potatoes in a single layer on a cookie sheet coated with cooking spray. | Bake at 400 degrees Fahrenheit for 30 minutes or until browned.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/51/9/YWW3hD5TVGR5iQ77ymf2_0S9A7458.jpg",Breakfast,All,"Potato,Vegetable,Low Protein,Vegan,Low Cholesterol,Healthy,Spicy,< 60 Mins,Oven",226.8
Low Carb Breakfast Balls,I used to live off of these when I was low carbing. They freeze really well. I also occasionally mixed in TVP (texturized vegetable protein) and flax for some extra fiber.,https://www.food.com/recipe/low-carb-breakfast-balls-98774,20m,30m,50m,"48 meatballs, 12 serving(s)","2   lbs    bulk pork sausage | 1   lb    ground beef | 3       eggs | 2   tablespoons    dried onion flakes | 1/2  teaspoon    black pepper | 1/2  lb    sharp cheddar cheese, shredded","Mix all the ingredients together until thoroughly blended (it is best to use your hands or an electric mixer). | Form into about 4 dozen 1 to 1 1/2 inch balls and place on a cookie sheet or broiler pan. | Bake at 375&deg;F for about 25 minutes. | Once they are cool, they can be sorted into individual zip bags and frozen for a grab-and-go breakfast. | NOTE: for Scotch Eggs, mold a bit of the raw meat mixture around a peeled hard-boiled egg (or eggs) and bake at 350&deg;F for 30 minutes.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/98/77/4/ebRhPzUSNO95aIz3RqzA_Low-Carb-Breakfast-Balls-6.png",Breakfast,All,"Lunch/Snacks,Pork,Cheese,Meat,Very Low Carbs,High Protein,High In...,Brunch,< 60 Mins,Oven,Easy",403.0
Ham Breakfast Casserole,Make and share this Ham Breakfast Casserole recipe from Food.com.,https://www.food.com/recipe/ham-breakfast-casserole-21247,1h,1h,2h,4 serving(s),"8   slices    white bread (or any bread you like) | 1   cup    ham, diced | 1/2  cup   sliced mushroom | 3/4  cup    cheddar cheese, shredded | 4       eggs, beaten | 1 1/3  cups    milk | 1   teaspoon    dried onion flakes | 1   teaspoon    dried parsley flakes | 1/2  teaspoon    lemon pepper","Spray 8 X 8 baking dish with cooking spray. | Place 4 slices of bread in prepared baking dish. | Sprinkle ham, mushrooms, and chees over top. | Cover with 4 slices of bread. | In a medium bowl, combine eggs and skim milk. | Add onion flakes, parsley flakes, and lemon pepper. | Mix well to combine. | Evenly pour egg mixture over bread. | Cover and refrigerate for at least 1 hour or overnight. | Uncover and bake at 350 F for 1 hour. | Place baking dish on a wire rack and let set for 5 minutes. | Cut into 4 servings.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/21/24/7/picQtw1RR.jpg",Breakfast,All,"Pork,Cheese,Meat,Kid Friendly,Weeknight,Oven,< 4 Hours",398.4
An Arabic Breakfast,"This is a standard breakfast in Palestinian households. I'm just writing up what I ate for breakfast nearly every day while I was living in Jordan with my Palestinian in-laws. This is traditionally eaten on the ground, laid out on a tablecloth, with the people grouped around. All of the ingredients are optional (except for the olive oil and tea of course!). Palestinians normally just round up whatever they've got in the house at the moment -- this is the complete version! I've listed white cheese here, this is the standard cheese for Palestinians. I only know it by this name, if anybody knows another, more specific name, could you please tell me?",https://www.food.com/recipe/an-arabic-breakfast-90316,10m,5m,15m,4 serving(s),3       eggs | salt | 4      chunks white cheese | 20       olives (I love the sweet black Spanish olives but in Jordan we had ones from our garden) | za'atar spice mix (we buy it but a recipe for it is here #65710) | 2       tomatoes | 2   small    cucumbers | labneh (we buy it but a recipe for it is here #77269 - the garlic is optional) | olive oil | mortadella (optional) | arabic bread (Lebanese) | water | 2       tea bags (I like Lipton) | 1/4  cup    dried sage (approx.) or 1/4  cup    dried mint (approx.) | sugar,"In a small frypan, put enough olive oil to nearly cover the bottom. | Fry chunks of white cheese until golden on each side (but don't overdo it). | Put along with oil onto small serving plate. | Clean the frypan (or use another one) and use it to make Arabic style scrambled eggs. | Place two tablespoons of olive oil in the pan along with 3 eggs and salt to taste (about 3 pinches). | Lightly turn it with a fork (Arabic scrambled eggs aren't as scrambled as the 'normal' version) until there is no longer any egg liquid (it should only just be cooked no more). | Put olives in a serving bowl. | Put about 1/2 cup of zaatar in a serving bowl. | Put 1/4 cup olive oil in a serving bowl and serve alongside zaatar. | Cut tomatoes into wedges. | Sprinkle small amount of salt over wedges (optional). | Cut the ends off the cucumbers and slice each into 4 long strips. | Put tomato wedges and cucumbers onto serving plate. | Serve labaneh with olive oil drizzled on top. | Serve mortadella sliced. | Heat the Arabic bread either by using the stove top (gas ovens) and turning frequently or heating each piece in the microwave for 30 seconds (not the authentic way of doing it!) Make tea in pot as per usual but with the dried sage or mint added. | Serve in Arabic teacups (usually small glass ones) with between 1-2 teaspoons sugar in each. | (Note: mint needs less sugar than sage) Serve all of the above. | The traditional way is to place a large tablecloth on the floor and eat seated on the ground. | Eat with Arabic bread.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/90/31/6/pichowim7.jpg",Breakfast,All,"Cheese,Palestinian,Southwest Asia (middle East),Asian,< 15 Mins,Stove Top,Easy",120.4
Capn Crunch-Coated French Toast,This is a kid pleazin crunchy sweet french toast recipe. it's easy and the kids can help! This recipe will make enough for 4 hungry kiddos.,https://www.food.com/recipe/capn-crunch-french-toast-361286,10m,10m,20m,"12 slices, 4-5 serving(s)",3   cups    Cap'n Crunch cereal | 5       eggs | 1   teaspoon    sugar | 3   tablespoons    milk | 1/2  cup    cooking oil,"In a blender. Blend 3 cups of Cap'n Crunch Cereal.  Pour out on a plate or large bowl big enough to lay a slice of bread inches If you do not have a blender, you can put the cereal in a ziplog type bag and roll with a rolling pen or a glass. Set aside. | In a bowl, (I use a square plastic dish the kind you put left over in and put in the fridge because it fit the bread slices so well). Break open the eggs and put them in the bowl. Add sugar and milk.  Beat with a wisk or fork till blended as well as possible. Perfection is not needed here. | When having kids help, it's better to freeze the bread the night before so it doesn't fall apart easily in the egg mixture.  My kids over soak them in the mix and freezing the bread keeps it from getting too soggy and falling apart. | Preheat your oil in a frying pan on medium heat. | Dip the bread in the egg mixture, put in the Cap'n Crunch that was blended down to a fine golden mix. Coat the bread that was dipped in the egg mixture with the cereal mixture. Cook about a minute on each side or until golden light brown.  Place on plate. Repeat till all the french toast is cooked. Serve with syrup or can be eaten without as finger food as this french toast is sweet just on it's own.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/36/12/86/Pxy7BelqRMOPkjqyeV38_captain%203%20(1%20of%201).jpg",Breakfast,All,"Kid Friendly,< 30 Mins,Easy",450.2
